movieId,title,genres,year,imdbId,imdbLink,poster,youtubeId
0,1,Toy Story,"Adventure, Animation, Children, Comedy, Fantasy",1995,114709,http://www.imdb.com/title/tt114709,"https://images-na.ssl-images-amazon.com/images/M/MV5BMDU2ZWJlMjktMTRhMy00ZTA5LWEzNDgtYmNmZTEwZTViZWJkXkEyXkFqcGdeQXVyNDQ2OTk4MzI@._V1_UX182_CR0,0,182,268_AL_.jpg",K26_sDKnvMU
1,2,Jumanji,"Adventure, Children, Fantasy",1995,113497,http://www.imdb.com/title/tt113497,"https://images-na.ssl-images-amazon.com/images/M/MV5BZTk2ZmUwYmEtNTcwZS00YmMyLWFkYjMtNTRmZDA3YWExMjc2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY268_CR10,0,182,268_AL_.jpg",3LPANjHlPxo
2,3,Grumpier Old Men,"Comedy, Romance",1995,113228,http://www.imdb.com/title/tt113228,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjQxM2YyNjMtZjUxYy00OGYyLTg0MmQtNGE2YzNjYmUyZTY1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",rEnOoWs3FuA
3,4,Waiting to Exhale,"Comedy, Drama, Romance",1995,114885,http://www.imdb.com/title/tt114885,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTczMTMyMTgyM15BMl5BanBnXkFtZTcwOTc4OTQyMQ@@._V1_UY268_CR4,0,182,268_AL_.jpg",j9xml1CxgXI
4,5,Father of the Bride Part II,Comedy,1995,113041,http://www.imdb.com/title/tt113041,"https://images-na.ssl-images-amazon.com/images/M/MV5BOTEyNzg5NjYtNDU4OS00MWYxLWJhMTItYWU4NTkyNDBmM2Y0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",ltwvKLnj1B4
5,6,Heat,"Action, Crime, Thriller",1995,113277,http://www.imdb.com/title/tt113277,"https://images-na.ssl-images-amazon.com/images/M/MV5BNGMwNzUwNjYtZWM5NS00YzMyLWI4NjAtNjM0ZDBiMzE1YWExXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_UX182_CR0,0,182,268_AL_.jpg",2GfZl4kuVNI
6,7,Sabrina,"Comedy, Romance",1995,114319,http://www.imdb.com/title/tt114319,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTA3OTQ2NTk2ODNeQTJeQWpwZ15BbWU4MDQ3NTM4MDMx._V1_UX182_CR0,0,182,268_AL_.jpg",twTksx_lWB4
7,8,Tom and Huck,"Adventure, Children",1995,112302,http://www.imdb.com/title/tt112302,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTUxNDYzMDY1OV5BMl5BanBnXkFtZTcwNDA2MzYxMQ@@._V1_UY268_CR2,0,182,268_AL_.jpg",-C-xXZyX2zU
8,9,Sudden Death,Action,1995,114576,http://www.imdb.com/title/tt114576,"https://images-na.ssl-images-amazon.com/images/M/MV5BN2NjYWE5NjMtODlmZC00MjJhLWFkZTktYTJlZTI4YjVkMGNmXkEyXkFqcGdeQXVyNDc2NjEyMw@@._V1_UY268_CR0,0,182,268_AL_.jpg",SCOxEKkuWG4
9,10,GoldenEye,"Action, Adventure, Thriller",1995,113189,http://www.imdb.com/title/tt113189,"https://images-na.ssl-images-amazon.com/images/M/MV5BMzk2OTg4MTk1NF5BMl5BanBnXkFtZTcwNjExNTgzNA@@._V1_UX182_CR0,0,182,268_AL_.jpg",lcOqUE0u1LM
