youtubeId,movieId,title
K26_sDKnvMU,1,Toy Story (1995)
3LPANjHlPxo,2,Jumanji (1995)
rEnOoWs3FuA,3,Grumpier Old Men (1995)
j9xml1CxgXI,4,Waiting to Exhale (1995)
ltwvKLnj1B4,5,Father of the Bride Part II (1995)
2GfZl4kuVNI,6,Heat (1995)
twTksx_lWB4,7,Sabrina (1995)
-C-xXZyX2zU,8,Tom and Huck (1995)
SCOxEKkuWG4,9,Sudden Death (1995)
lcOqUE0u1LM,10,GoldenEye (1995)
UrC75wUKoFM,11,"American President, The (1995)"
tVdn8JH91Dg,12,Dracula: Dead and Loving It (1995)
a6lGULmQdb0,13,Balto (1995)
dO2LWKpeyI8,14,Nixon (1995)
JXxFESHwnX0,15,Cutthroat Island (1995)
EJXDMwGWhoA,16,Casino (1995)
Ns17RQr1yK8,17,Sense and Sensibility (1995)
Rieq_TR7cV0,18,Four Rooms (1995)
DfqPjRMsRP0,19,Ace Ventura: When Nature Calls (1995)
qPPUmzK5pPc,20,Money Train (1995)
yNLaTtpovys,21,Get Shorty (1995)
lsmXhM4yfU0,22,Copycat (1995)
OOTTvrb4JZI,23,Assassins (1995)
gHl-UHu2-lM,24,Powder (1995)
UMlYWZgCIgo,25,Leaving Las Vegas (1995)
RAYuASqrs94,26,Othello (1995)
RQLVzTtt2Ws,27,Now and Then (1995)
lYSHAyODiGs,28,Persuasion (1995)
toH1vzAmDBI,29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)"
mQf3Ngg2cks,30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)
gA-5nLQCmW8,31,Dangerous Minds (1995)
15s4Y9ffW_o,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995)
3_wez2B83ic,33,Wings of Courage (1995)
tVxeoUtVF0o,34,Babe (1995)
ccq3f9-lQyM,35,Carrington (1995)
pg-GMqPHIPQ,36,Dead Man Walking (1995)
qpQ-CnutDy0,37,Across the Sea of Time (1995)
6PKq7YSpO6c,38,It Takes Two (1995)
XuHEa7pWAQY,39,Clueless (1995)
zEY1dPRUrVU,40,"Cry, the Beloved Country (1995)"
OXc0-EME0C8,41,Richard III (1995)
eETnzbLwTs8,42,Dead Presidents (1995)
CvsAuHYBgEQ,43,Restoration (1995)
JHIfHL5UgFs,44,Mortal Kombat (1995)
Y1uPXA1ceNo,45,To Die For (1995)
K5_2VgJUSBA,46,How to Make an American Quilt (1995)
SpKbZ_3zlb0,47,Seven (a.k.a. Se7en) (1995)
DSf_pVG8QZM,48,Pocahontas (1995)
J5mszOh_Qis,49,When Night Is Falling (1995)
oiXdPolca5w,50,"Usual Suspects, The (1995)"
2BBKx2Hji_0,51,Guardian Angel (1994)
-qz_zB2Pc2g,52,Mighty Aphrodite (1995)
3Fd6ZlgOFqs,53,Lamerica (1994)
K4MltltKq4k,54,"Big Green, The (1995)"
jG9pUsmjAO8,55,Georgia (1995)
moJMVGICPc4,56,Kids of the Round Table (1995)
ThH8WocPRM0,57,Home for the Holidays (1995)
0or7hSz-7gc,58,"Postman, The (Postino, Il) (1994)"
mRX2-vM4eYQ,59,"Confessional, The (Confessionnal, Le) (1995)"
yoIBXVm_B9Y,60,"Indian in the Cupboard, The (1995)"
jY56N6irNCk,61,Eye for an Eye (1996)
JYoWGIrXiz0,62,Mr. Holland's Opus (1995)
JAAhQwcJ20U,63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)
Psql1jhaIiA,64,Two if by Sea (1996)
9J6qOSUJXy0,65,Bio-Dome (1996)
MubmJ2jwvOM,66,Lawnmower Man 2: Beyond Cyberspace (1996)
z7oSfRVevzU,67,Two Bits (1995)
Qd_88LUuHGU,68,French Twist (Gazon maudit) (1995)
dxduMVVnrvU,69,Friday (1995)
9gQuxMD5jzU,70,From Dusk Till Dawn (1996)
YC3npzqwXcs,71,Fair Game (1995)
c_Q1WwePBNI,72,Kicking and Screaming (1995)
hck5I4F1OgU,73,"Misérables, Les (1995)"
GJ6-ymSjShg,74,Bed of Roses (1996)
rZU6xGcShw8,75,Big Bully (1996)
1AeAvE3FxQ8,76,Screamers (1995)
xjPZbigB4NA,77,Nico Icon (1995)
kDdwRURSEzI,78,"Crossing Guard, The (1995)"
Awng-jZnkoY,79,"Juror, The (1996)"
jL4l_tyPC0Y,80,"White Balloon, The (Badkonake sefid) (1995)"
i1o_PO3ridY,81,Things to Do in Denver When You're Dead (1995)
qiAyu1qKkfE,82,Antonia's Line (Antonia) (1995)
UwkAOHd8WRU,83,Once Upon a Time... When We Were Colored (1995)
FmYKCjilWAs,84,Last Summer in the Hamptons (1995)
bdqnz-FtIog,85,Angels and Insects (1995)
69ZoLvE9SpQ,86,White Squall (1996)
FjPueQfeQLs,87,Dunston Checks In (1996)
BRgCb1QjOv4,88,Black Sheep (1996)
o6trRzB8fiA,89,Nick of Time (1995)
PQJW7o37XJo,90,"Journey of August King, The (1995)"
qgHHBYzgL-s,92,Mary Reilly (1996)
HBel3A1-f2c,93,Vampire in Brooklyn (1995)
0AvkCamSj5o,94,Beautiful Girls (1996)
De29KipeZQw,95,Broken Arrow (1996)
vBS92ui_h74,96,In the Bleak Midwinter (1995)
M2Wl4li8TFo,97,"Hate (Haine, La) (1995)"
cR1Zvw5MmLs,98,Shopping (1994)
oA7M9qSJKrE,99,Heidi Fleiss: Hollywood Madam (1995)
OlCO01s1upA,100,City Hall (1996)
hspUSez-rYY,101,Bottle Rocket (1996)
vUn8MuKaOxQ,102,Mr. Wrong (1996)
ppsp24yW7ac,103,Unforgettable (1996)
y1emDAYCfVQ,104,Happy Gilmore (1996)
Up-oN4NtvbM,105,"Bridges of Madison County, The (1995)"
Rb6vdGA8Iy8,106,Nobody Loves Me (Keiner liebt mich) (1994)
KLUdKoCganU,107,Muppet Treasure Island (1996)
foBVdhrrOJ8,108,Catwalk (1996)
ZMTOFv3-hic,109,Headless Body in Topless Bar (1995)
1cnoM8EiGGU,110,Braveheart (1995)
cujiHDeqnHY,111,Taxi Driver (1976)
q7vg8uGzLts,112,Rumble in the Bronx (Hont faan kui) (1995)
KRrUiYxr5dc,113,Before and After (1996)
S82xxKIURF4,114,Margaret's Museum (1995)
-sMoiy690LE,115,"Happiness Is in the Field (Bonheur est dans le pré, Le) (1995)"
HFMnh-n7U7w,116,Anne Frank Remembered (1995)
Xw6F07ChJzQ,117,"Young Poisoner's Handbook, The (1995)"
TNTV9Txit-Q,118,If Lucy Fell (1996)
9uBpp-qIIp8,119,"Steal Big, Steal Little (1995)"
w7idtZ4tsN8,120,Race the Sun (1996)
VsRIJqOXH-U,121,"Boys of St. Vincent, The (1992)"
Sr60MOJ_fhc,122,Boomerang (1992)
ZkyRcGGeq8E,123,Chungking Express (Chung Hing sam lam) (1994)
TvxLosSHUvI,124,"Star Maker, The (Uomo delle stelle, L') (1995)"
b0nE4KWZ4Io,125,Flirting With Disaster (1996)
hgs5CgnBJFs,126,"NeverEnding Story III, The (1994)"
2Vmtb6B6nTs,127,"Silences of the Palace, The (Saimt el Qusur) (1994)"
1P8JYwOhWoc,128,Jupiter's Wife (1994)
_d7KNUnJF4o,129,Pie in the Sky (1996)
cooYPruKl78,130,Angela (1995)
2vrYABGERJw,131,Frankie Starlight (1995)
x_aXAlSl02U,132,Jade (1995)
FoIulZLn_uY,133,Nueba Yol (1995)
5zI1PtnNXOs,134,Sonic Outlaws (1995)
pjyjP5h6PjI,135,Down Periscope (1996)
qiBfZs6P6OA,136,From the Journals of Jean Seberg (1995)
uau-JNTHON8,137,Man of the Year (1995)
nKldiFbwf4w,138,"Neon Bible, The (1995)"
KbjTJRZkt5Q,139,Target (1995)
RiRUHeUhM3U,140,Up Close and Personal (1996)
83kTQ6chG4o,141,"Birdcage, The (1996)"
l25067DO9mo,142,Shadows (Cienie) (1988)
wyBB6G6pWC8,143,Gospa (1995)
QEFxzbRLOmg,144,"Brothers McMullen, The (1995)"
ZYxO2ODedhA,145,Bad Boys (1995)
Uwnm9QAwhzE,146,"Amazing Panda Adventure, The (1995)"
W5eVnwe6Pxs,147,"Basketball Diaries, The (1995)"
HPBkA3GuvcY,148,"Awfully Big Adventure, An (1995)"
GLhu37ozFx8,149,Amateur (1994)
e3ZtOS4MCkk,150,Apollo 13 (1995)
w0-2kzujLA8,151,Rob Roy (1995)
0wgIIsXz-Vk,152,"Addiction, The (1995)"
b_KllgySsPo,153,Batman Forever (1995)
1nN7TYFuLy4,154,Beauty of the Day (Belle de jour) (1967)
0WhJt46AhFk,155,Beyond Rangoon (1995)
72ue1Jqy01E,156,Blue in the Face (1995)
ayOlQ9If_cA,157,Canadian Bacon (1995)
BBEB9OSfeCA,158,Casper (1995)
YsFUoioGePc,159,Clockers (1995)
icu59hembVk,160,Congo (1995)
cc0Az3IJFOU,161,Crimson Tide (1995)
qXVX24JoOB8,162,Crumb (1994)
MdZaOB03b1U,163,Desperado (1995)
50EVm04iPLk,164,Devil in a Blue Dress (1995)
gcsk7C7FfQM,165,Die Hard: With a Vengeance (1995)
wWTm1mQlnfg,166,"Doom Generation, The (1995)"
8n2AQuAUSEQ,167,Feast of July (1995)
xUnz3llwIjE,168,First Knight (1995)
qqOPd5jKYG4,169,Free Willy 2: The Adventure Home (1995)
Ql1uLyuWra8,170,Hackers (1995)
dhOHvdiLaDI,171,Jeffrey (1995)
U_8BVWHSU_o,172,Johnny Mnemonic (1995)
43-BefmjMFg,173,Judge Dredd (1995)
bdKOtQlUS6s,174,Jury Duty (1995)
U9a5tZSKDOU,175,Kids (1995)
OaTEaKhXfzM,176,Living in Oblivion (1995)
YyJvOuxZDHY,177,Lord of Illusions (1995)
